rn,kddept,kdsatker,nmsatker,no_rekening,unit,saldo_akhir,kdbank,tgl_transaksi,updated_at
21,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-08,2025-09-09 02:11:25
22,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-08,2025-09-09 02:10:54
23,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-08,2025-09-09 02:10:06
24,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-08,2025-09-09 02:12:18
25,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-07,2025-09-08 02:15:01
26,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-07,2025-09-08 02:14:17
27,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-07,2025-09-08 02:15:44
28,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-07,2025-09-08 02:15:05
29,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-07,2025-09-08 02:15:00
30,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-07,2025-09-08 02:14:21
31,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-07,2025-09-08 02:14:56
32,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-07,2025-09-08 02:14:55
33,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-06,2025-09-07 02:07:21
34,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-06,2025-09-07 02:06:34
35,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-06,2025-09-07 02:06:44
36,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-06,2025-09-07 02:07:20
37,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-06,2025-09-07 02:08:37
38,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-06,2025-09-07 02:08:36
39,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-06,2025-09-07 02:08:37
40,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-06,2025-09-07 02:07:58
41,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-05,2025-09-06 02:04:01
42,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-05,2025-09-06 02:07:23
43,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-05,2025-09-06 02:04:01
44,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-05,2025-09-06 02:04:52
45,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-05,2025-09-06 02:04:12
46,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-05,2025-09-06 02:04:06
47,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-05,2025-09-06 02:06:34
48,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-05,2025-09-06 02:07:22
49,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-04,2025-09-05 02:10:47
50,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-04,2025-09-05 02:10:56
51,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-04,2025-09-05 02:10:56
52,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-04,2025-09-05 02:16:04
53,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-04,2025-09-05 02:15:22
54,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-04,2025-09-05 02:15:21
55,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-04,2025-09-05 02:14:06
56,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-04,2025-09-05 02:14:46
57,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332268347,008,2025-09-03,2025-09-04 02:23:48
58,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-03,2025-09-04 02:25:53
59,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-03,2025-09-04 02:21:43
60,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-03,2025-09-04 02:26:31
61,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-03,2025-09-04 02:23:49
62,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-03,2025-09-04 02:25:53
63,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-03,2025-09-04 02:21:43
64,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-03,2025-09-04 02:26:31
65,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332268347,008,2025-09-02,2025-09-03 02:21:41
66,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-02,2025-09-03 02:26:54
67,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-02,2025-09-03 02:23:01
68,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-02,2025-09-03 02:21:45
69,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-02,2025-09-03 02:26:04
70,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-02,2025-09-03 02:26:03
71,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-02,2025-09-03 02:26:01
72,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-02,2025-09-03 02:24:28
73,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-01,2025-09-02 02:09:49
74,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-01,2025-09-02 02:09:48
75,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-01,2025-09-02 02:15:18
76,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-01,2025-09-02 02:15:16
77,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-01,2025-09-02 02:09:48
78,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-01,2025-09-02 02:09:49
79,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-01,2025-09-02 02:12:20
80,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270331553347,008,2025-09-01,2025-09-02 02:14:40
81,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-08-31,2025-09-01 02:04:16
82,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-31,2025-09-01 02:03:53
83,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-31,2025-09-01 02:03:38
84,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-08-31,2025-09-01 02:04:26
85,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-08-31,2025-09-01 02:05:35
86,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-08-31,2025-09-01 02:03:34
87,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-31,2025-09-01 02:04:26
88,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270330363347,008,2025-08-31,2025-09-01 02:03:55
89,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-08-30,2025-08-31 02:06:36
90,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-08-30,2025-08-31 02:05:56
91,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-08-30,2025-08-31 02:07:13
92,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-30,2025-08-31 02:07:13
93,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270330363347,008,2025-08-30,2025-08-31 02:06:35
94,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-30,2025-08-31 02:11:32
95,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-08-30,2025-08-31 02:06:36
96,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-30,2025-08-31 02:05:57
97,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-08-29,2025-08-30 02:14:45
98,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-29,2025-08-30 02:15:08
99,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270330363347,008,2025-08-29,2025-08-30 02:15:07
100,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-29,2025-08-30 02:15:16
101,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-29,2025-08-30 02:15:16
102,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-28,2025-08-29 02:30:54
103,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-08-28,2025-08-29 02:31:34
104,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-08-28,2025-08-29 02:32:57
105,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270330363347,008,2025-08-28,2025-08-29 02:34:15
106,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-28,2025-08-29 02:30:54
107,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-08-28,2025-08-29 02:30:53
108,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-28,2025-08-29 02:31:37
109,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-08-28,2025-08-29 02:29:35
110,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-27,2025-08-28 02:09:43
111,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270330371547,008,2025-08-27,2025-08-28 02:12:21
112,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-08-27,2025-08-28 02:12:23
113,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-08-27,2025-08-28 02:12:22
114,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-27,2025-08-28 02:12:21
115,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-27,2025-08-28 02:11:41
116,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-08-27,2025-08-28 02:10:26
117,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-08-27,2025-08-28 02:09:44
118,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-26,2025-08-27 02:44:46
119,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,214929798819,009,2025-08-26,2025-08-27 02:41:31
120,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-26,2025-08-27 02:44:45
121,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,534903905390,200,2025-08-26,2025-08-27 02:41:32
122,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-26,2025-08-27 02:44:11
123,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-26,2025-08-27 02:42:08
124,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,214929798819,009,2025-08-26,2025-08-27 02:41:31
125,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-26,2025-08-27 02:44:45
126,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,534903905390,200,2025-08-25,2025-08-26 02:15:34
127,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-25,2025-08-26 02:22:30
128,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6228541568,014,2025-08-25,2025-08-26 02:22:27
129,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-25,2025-08-26 02:22:26
130,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-25,2025-08-26 02:22:29
131,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-25,2025-08-26 02:21:50
132,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-25,2025-08-26 02:17:46
133,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,214929798819,009,2025-08-25,2025-08-26 02:17:06
134,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-24,2025-08-25 02:10:53
135,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,534903905390,200,2025-08-24,2025-08-25 02:12:11
136,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-24,2025-08-25 02:09:45
137,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-24,2025-08-25 02:12:10
138,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-24,2025-08-25 02:12:10
139,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6228541568,014,2025-08-24,2025-08-25 02:11:33
140,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-24,2025-08-25 02:10:54
141,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-24,2025-08-25 02:10:54
142,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-23,2025-08-24 02:23:31
143,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-23,2025-08-24 02:26:41
144,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6228541568,014,2025-08-23,2025-08-24 02:25:29
145,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-23,2025-08-24 02:26:06
146,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,214929798819,009,2025-08-23,2025-08-24 02:26:05
147,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-23,2025-08-24 02:23:26
148,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,534903905390,200,2025-08-23,2025-08-24 02:26:06
149,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-23,2025-08-24 02:26:09
150,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,214929798819,009,2025-08-22,2025-08-23 02:35:55
151,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-22,2025-08-23 02:37:21
152,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6228541568,014,2025-08-22,2025-08-23 02:34:37
153,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-22,2025-08-23 02:33:55
154,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-22,2025-08-23 02:33:56
155,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-22,2025-08-23 02:36:41
156,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,534903905390,200,2025-08-22,2025-08-23 02:35:14
157,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-22,2025-08-23 02:33:55
158,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6228541568,014,2025-08-21,2025-08-22 02:21:23
159,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,534903905390,200,2025-08-21,2025-08-22 02:24:44
160,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-21,2025-08-22 02:23:19
161,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-21,2025-08-22 02:20:38
162,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-21,2025-08-22 02:22:05
163,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-21,2025-08-22 02:22:05
164,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,534903905390,200,2025-08-21,2025-08-22 02:24:44
165,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-21,2025-08-22 02:23:19
166,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2172790910861,008,2025-08-20,2025-08-21 02:25:40
167,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-08-20,2025-08-21 02:23:05
168,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,362431854018,002,2025-08-20,2025-08-21 02:27:01
169,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-08-20,2025-08-21 02:25:02
170,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-08-20,2025-08-21 02:24:23
171,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,214929798819,009,2025-08-20,2025-08-21 02:23:44
